"year","sex","age","suicides_no","population","gdppc","suicides_100k"
1979,"female","15-24 years",71,1236800,22826,5.74
1979,"female","25-34 years",86,1138500,22826,7.55
1979,"female","35-54 years",171,1572100,22826,10.88
1979,"female","5-14 years",1,1246500,22826,0.08
1979,"female","55-74 years",135,1137800,22826,11.87
1979,"female","75+ years",15,309900,22826,4.84
1979,"male","15-24 years",234,1290800,22826,18.13
1979,"male","25-34 years",272,1168800,22826,23.27
1979,"male","35-54 years",415,1660700,22826,24.99
1979,"male","5-14 years",2,1312400,22826,0.15
1979,"male","55-74 years",240,1033500,22826,23.22
1979,"male","75+ years",33,171600,22826,19.23
1980,"female","15-24 years",56,1244600,22972,4.5
1980,"female","25-34 years",81,1168300,22972,6.93
1980,"female","35-54 years",152,1597800,22972,9.51
1980,"female","5-14 years",2,1250400,22972,0.16
1980,"female","55-74 years",88,1165900,22972,7.55
1980,"female","75+ years",29,319300,22972,9.08
1980,"male","15-24 years",229,1304600,22972,17.55
1980,"male","25-34 years",273,1192000,22972,22.9
1980,"male","35-54 years",387,1688500,22972,22.92
1980,"male","5-14 years",4,1316100,22972,0.3
1980,"male","55-74 years",248,1059100,22972,23.42
1980,"male","75+ years",57,178500,22972,31.93
1981,"female","15-24 years",56,1280300,23368,4.37
1981,"female","25-34 years",71,1213700,23368,5.85
1981,"female","35-54 years",160,1629500,23368,9.82
1981,"female","5-14 years",1,1264700,23368,0.08
1981,"female","55-74 years",104,1203000,23368,8.65
1981,"female","75+ years",21,331100,23368,6.34
1981,"male","15-24 years",238,1321500,23368,18.01
1981,"male","25-34 years",271,1243400,23368,21.8
1981,"male","35-54 years",410,1702500,23368,24.08
1981,"male","5-14 years",4,1322800,23368,0.3
1981,"male","55-74 years",276,1088800,23368,25.35
1981,"male","75+ years",59,187100,23368,31.53
1982,"female","15-24 years",39,1289000,22972,3.03
1982,"female","25-34 years",88,1226400,22972,7.18
1982,"female","35-54 years",156,1687000,22972,9.25
1982,"female","5-14 years",1,1266000,22972,0.08
1982,"female","55-74 years",135,1228000,22972,10.99
1982,"female","75+ years",29,342300,22972,8.47
1982,"male","15-24 years",272,1334000,22972,20.39
1982,"male","25-34 years",303,1257500,22972,24.1
